Predation,Cell Prolif,,Predation (1-RO),Cell Prolif,
1,3221.80917,,2,12172.98924,C
1,4630.799023,,2,26046.75392,C
1,9243.852838,,2,11706.17501,C
1,5927.146017,,2,11862.96451,C
1,14586.54813,,2,26645.59805,C
1,20120.97738,,2,19815.46845,C
1,37082.27903,,2,41302.88358,C
1,8700.339101,,2,25459.50296,C
1,5165.802388,,2,23830.15598,C
1,3741.394792,,2,24177.0504,C
1,4471.272077,,2,4257.311933,C
1,7529.427513,,2,28084.22625,C
1,6155.946925,,2,61879.98207,C
1,11007.72483,,2,32371.67867,C
1,10831.97934,,2,27078.76773,C
1,4911.616749,,2,22695.03546,C
1,7446.412425,,2,19581.70466,C
1,5411.255411,,2,15516.24773,C
1,10418.70157,,2,17977.27948,C
1,9489.338051,,2,18033.99852,C
1,4288.649504,,2,54098.29244,C
1,12750.78198,,2,55377.67575,C
1,10479.66021,,2,43479.71504,C
1,14473.68705,,2,32891.13036,C
1,7573.428848,,2,34714.34103,C
1,24636.10421,,2,49364.85147,C
1,14325.10833,,2,70018.95898,C
1,8597.99022,,2,21655.22782,C
1,30627.37765,,2,19394.68177,C
1,19738.32619,,2,16738.77215,C
1,35911.12777,,2,26092.14254,C
1,20919.08621,,2,14230.12139,C
1,5218.389605,,2,25924.73808,C
1,7797.353862,,2,16032.40233,C
1,9606.585061,,2,30129.74236,C
1,11354.06974,,2,18475.43808,C
1,18520.67209,,2,25362.38953,C
1,23942.57613,,2,34054.92968,C
1,18686.59904,,2,71985.91133,C
1,7857.992527,,2,14046.9167,C
1,21654.79323,,2,10847.32392,C
1,19748.36032,,2,15548.65833,C
1,5668.090774,,2,29982.01079,C
1,10586.52113,,2,15437.63197,C
1,4418.187786,,2,35929.4446,C
1,7101.76834,,2,35465.7688,C
1,5279.273572,,2,40360.1366,C
1,8016.72824,,2,37295.72116,C
1,15715.8573,,2,32419.59939,C
1,17418.56819,,2,35090.61636,C
1,33289.18897,,2,45177.67288,C
1,9801.958723,,2,6651.22632,C
1,7339.336138,,2,21814.77846,C
1,8299.281868,,2,19771.93503,C
1,2242.20274,,2,31894.40499,C
1,4710.605748,,2,11223.34456,C
1,7118.704396,,2,26639.81926,C
1,5453.083037,,2,20927.44999,C
1,12273.79774,,2,46191.01762,C
1,9084.096019,,2,18476.98478,C
1,8239.345937,,2,28464.49844,C
1,22956.84114,,2,19353.67152,C
1,30603.93331,,2,20823.21094,C
1,14171.0258,,2,10160.03812,C
1,9905.455588,,2,35248.36541,C
1,18159.67127,,2,36639.79748,C
1,13611.27918,,2,32325.04072,C
1,25268.09759,,2,21951.28456,C
1,8519.904642,,2,27868.25914,C
1,18860.94954,,2,31070.12036,C
1,10020.77993,,2,30465.74508,C
1,33905.48845,,2,15801.08689,C
1,7623.113279,,2,34282.384,C
1,18860.66205,,2,38152.88313,C
1,12001.84449,,2,52799.00738,C
1,7617.489756,,2,25215.84766,C
1,6835.503606,,2,42418.84366,C
1,15597.30053,,2,81031.30755,C
1,7745.483415,,2,47101.44928,C
1,24712.71469,,2,40662.40367,C
1,8612.665256,,2,36484.24544,C
1,19906.69817,,2,31082.99513,C
1,15441.53526,,2,30643.25723,C
1,50920.33796,,2,13017.78229,C
1,11304.54443,,2,52783.92644,C
1,29509.57359,,2,50437.62053,C
1,14878.95966,,2,35348.99447,C
1,54466.23094,,2,18396.50603,C
1,22175.29039,,2,45976.58301,
1,12256.66907,,2,45287.29125,C
1,24949.39509,,2,60903.37221,
1,10426.69233,,2,28608.99222,
1,8765.638696,,2,21183.89061,C
1,10970.32527,,2,23771.9415,C
1,8372.579801,,2,23634.67545,C
1,18207.05979,,2,25267.91808,C
1,4433.18556,,2,34347.59769,C
1,9333.065008,,2,21253.98512,C
1,18612.08333,,2,32128.51406,C
1,7422.527371,,2,10093.62709,C
1,8940.908721,,2,17876.81121,C
1,17217.63085,,2,39121.46136,C
1,23464.39876,,2,27842.74418,C
1,24383.41927,,2,54833.49882,C
1,7302.424703,,2,23551.74604,
1,12843.35918,,2,54142.46235,
1,11335.44496,,2,29976.46111,
1,16488.48466,,2,51771.50396,
1,12487.99232,,2,26557.77977,
1,5652.591713,,2,39652.69707,
1,7333.592166,,2,34872.71459,
1,7769.349211,,2,35079.51356,
1,5711.954304,,2,18859.11344,
1,13791.4493,,2,36604.08549,
1,20392.61935,,2,31845.06402,
1,14921.89661,,2,35612.53561,
1,10880.5919,,2,11968.51672,
1,22676.51804,,2,39389.04474,
1,25376.2302,,2,40301.40013,
1,24887.22974,,2,61361.8369,
1,14088.72374,,2,9938.443764,
1,26303.67594,,2,27739.56901,
1,20516.4278,,2,14550.85375,
1,28629.13505,,2,30054.15212,
1,23718.3614,,2,16385.26751,
1,21768.31259,,2,39484.65333,
1,18614.73392,,2,28691,
1,14769.72828,,2,43865,
1,22145.68363,,2,18806.81121,
1,23931.84707,,2,29472.77736,
1,27979.94661,,2,31198.2061,
1,36621.65255,,2,25827.09703,
1,7763.975155,,2,36291.05426,
1,20780.53496,,2,27267.0419,
1,21399.71613,,2,21589.26425,
1,24868.0471,,2,25888.12105,
1,18190.76323,,2,33254.97391,
1,19689.14317,,2,26832.52203,
1,24844.60179,,2,29650.86111,
1,21086.49386,,2,47867.02435,
1,14198.47037,,2,37982.94071,
1,19737.6964,,2,29925.49163,
1,16768.04887,,2,29745.88515,
1,21547.84012,,2,32917.81339,
1,7129.938787,,2,16037.66928,
1,18562.98176,,2,43286.13942,
1,14953.01303,,2,68328.48285,
1,11586.14297,,2,28305.9504,
1,8561.302911,,2,22963.96783,
1,19731.16291,,2,37885.14773,
1,20146.16687,,2,29116.3197,
1,22664.35706,,2,49919.60998,
1,14987.21679,,2,23723.84112,
,15234.9442,,2,23188.50537,
,,,2,38583.1095,
,,,2,41562.75977,
,,,2,26413.33874,
,,,2,47414.55829,
,,,2,47875.68135,
,,,2,52474.97669,
,,,2,24764.26326,
,,,2,30100.77215,
,,,2,27965.8989,
,,,2,387199.6356,
,,,2,13095.42517,
,,,2,39441.55334,
,,,2,29898.2063,
,,,2,44785.50683,
,Low Predation,High Predation,,33303.43926,
,15235,33303.44,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
,,,,,F
